,Name,Electorate,Party,Year of birth,Elected by,Total votes,Percentage,First elected
1,Chlöe Swarbrick,Auckland central,Green,1994,12631,35985,35.1,2017
2,Tracey McLellan,Banks Peninsula,Labour,1970,25393,49681,51.11,2020
3,Todd Muller,Bay of Plenty,National,1968,20046,44603,44.94,2014
4,Christopher Luxon,Botany,National,1970,19017,36253,52.46,2020
5,Duncan Webb,Christchurch central,Labour,1967,23931,40369,59.28,2017
6,Poto Williams,Christchurch east,Labour,1962,25234,39878,63.28,2013
7,Scott Simpson,Coromandel,National,1959,21218,47350,44.81,2011
8,David Clark,Dunedin,Labour,1973,24140,45723,52.79,2011
9,Kiri Allan,East Coast,Labour,1984,21420,41431,51.7,2017
10,Erica Stanford,East Coast Bays,National,1978,20466,38102,53.71,2017
11,David Seymour,Epsom,ACT,1983,19500,41508,46.97,2014
12,Jamie Strange,Hamilton East,Labour,1976,18542,39513,46.92,2017
13,Gaurav Sharma,Hamilton West,Labour,1987,20703,39926,51.85,2020
14,Ginny Andersen,Hutt South,Labour,1975,22453,44908,50,2017
15,Sarah Pallett,Ilam,Labour,NaN,19825,43402,45.67,2020
16,Penny Simmonds,Invercargill,National,1959,17929,35462,44.66,2020
17,Stuart Smith,Kaikōura,National,1963,18069,42332,42.68,2014
18,Chris Penk,Kaipara ki Mahurangi,National,1980,20402,45552,44.79,2017
19,Carmel Sepuloni,Kelston,Labour,1977,22177,35312,62.8,2014
20,Barbara Edmonds,Mana,Labour,1980,26122,43127,60.57,2020
21,William Sio,Māngere,Labour,1960,23104,31237,73.96,2008
22,Arena Williams,Manurewa,Labour,1990,20815,29680,70.13,2020
23,Priyanca Radhakrishnan,Maungakiekie,Labour,1979,16232,37257,43.56,2017
24,Jacinda Ardern,Mt Albert,Labour,1980,29238,41342,70.72,2008
25,Michael Wood,Mt Roskill,Labour,1980,23050,38187,60.36,2016
26,Stuart Nash,Napier,Labour,1967,21325,41757,51.06,2014
27,Rachel Boyack,Nelson,Labour,NaN,21376,44448,48.09,2020
28,Deborah Russell,New Lynn,Labour,1966,23352,40927,57.06,2017
29,Glen Bennett,New Plymouth,Labour,1975,21030,44271,47.5,2020
30,Simon Watts,North Shore,National,NaN,19202,41571,46.19,2020
31,Shanan Halbert,Northcote,Labour,1983,19086,39976,47.74,2020
32,Willow-Jean Prime,Northland,Labour,1983,17066,44784,38.11,2017
